City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,San Andres,CO,80.6,light rain,12.5847,-81.7006,Hotel Arena Blanca
379,Puerto Narino,CO,75.2,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
386,Nhulunbuy,AU,87.8,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
388,Buenaventura,CO,74.05,heavy intensity rain,3.8801,-77.0312,Hotel Victoria
390,Koumac,NC,80.67,overcast clouds,-20.5667,164.2833,Le Monitel
404,Diamantino,BR,72.27,overcast clouds,-14.4086,-56.4461,Hotel Delta
406,Kulhudhuffushi,MV,81.39,clear sky,6.6221,73.07,Haajy Guest House 1
411,Miri,MY,77.0,light rain,4.4148,114.0089,"Mega Hotel, Miri"
421,Palmas,BR,75.2,light rain,-10.2128,-48.3603,Hotel Lago da Palma
423,Pitimbu,BR,75.2,clear sky,-7.4706,-34.8086,Reserva do Abiaí
431,Gunnedah,AU,88.0,scattered clouds,-30.9833,150.25,Gunnedah Motor Inn
433,Nelson Bay,AU,84.99,few clouds,-32.7167,152.15,Mantra Nelson Bay
435,Thongwa,MM,80.6,clear sky,16.7619,96.5278,U Poe Sann
441,Kota Belud,MY,80.6,light rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
443,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
444,Penha,BR,75.2,overcast clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
455,Port-Gentil,GA,79.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
460,Ballina,AU,77.0,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
461,Kloulklubed,PW,86.0,moderate rain,7.0419,134.2556,Storyboard Beach Resort
464,Wairoa,NZ,73.0,broken clouds,-39.0333,177.3667,Riverside Motor Camp
470,Alyangula,AU,87.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
475,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
476,Ambilobe,MG,76.96,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
486,Soyo,AO,79.09,overcast clouds,-6.1349,12.3689,Hotel Mpampa
488,Bontang,ID,83.89,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
494,Morondava,MG,80.46,overcast clouds,-20.2833,44.2833,La Case Bambou
495,Mozarlandia,BR,72.54,light rain,-14.7447,-50.5706,Hotel Santa Mônica
498,Popondetta,PG,84.07,moderate rain,-8.7537,148.2534,Timos Transit House
501,Ulladulla,AU,81.0,few clouds,-35.35,150.4667,Sandpiper Motel
509,Necochea,AR,74.48,clear sky,-38.5473,-58.7368,dyd -mar Hotel
511,Lazaro Cardenas,MX,75.18,broken clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
512,Male,MV,84.2,few clouds,4.1748,73.5089,Hotel Octave Maldives
518,Iquitos,PE,73.4,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
530,Bartica,GY,73.4,few clouds,6.4,-58.6167,Relax Inn Hotel
531,Rantepao,ID,83.95,light rain,-2.9701,119.8978,Hotel Luta Resort
535,Bulolo,PG,84.16,moderate rain,-7.2,146.65,Pine Lodge Bulolo
537,Warri,NG,75.6,clear sky,5.5167,5.75,BON Hotel Delta
