City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Port Macquarie,AU,-31.4333,152.9167,78.01,53,5,11.5,clear sky
219,Kargat,RU,55.1956,80.2811,0.84,93,100,7.83,overcast clouds
220,Atasu,KZ,48.6814,71.6433,14.99,96,100,5.86,snow
221,Ahipara,NZ,-35.1667,173.1667,65.39,57,18,13.22,few clouds
222,Keti Bandar,PK,24.1447,67.4497,70.97,78,0,8.1,clear sky
223,Bathsheba,BB,13.2167,-59.5167,77.0,73,20,13.8,few clouds
224,Tasiilaq,GL,65.6145,-37.6368,10.4,67,10,3.44,clear sky
225,Jalu,LY,29.0331,21.5482,39.49,76,0,2.51,clear sky
226,Seoul,KR,37.5683,126.9778,44.6,36,90,5.75,overcast clouds
227,Portmore,JM,17.9702,-76.8672,80.6,78,20,3.44,few clouds
228,Tautira,PF,-17.7333,-149.15,87.8,58,75,10.36,broken clouds
229,Murdochville,CA,48.9583,-65.5006,14.0,73,13,23.02,few clouds
230,Bima,ID,-8.4667,118.7167,86.27,66,100,3.62,overcast clouds
231,Baherden,TM,38.4362,57.4316,37.06,78,59,8.93,broken clouds
232,Plouzane,FR,48.3833,-4.6167,46.4,81,20,10.36,few clouds
233,Flinders,AU,-34.5833,150.8552,81.0,56,0,7.0,clear sky
234,Juneau,US,58.3019,-134.4197,37.0,87,90,3.15,light rain
235,Klaksvik,FO,62.2266,-6.589,37.4,70,40,25.32,light snow
236,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.98,83,100,8.61,light rain
237,Tosham,IN,28.8833,75.9167,61.52,33,0,8.48,clear sky
238,Pontes E Lacerda,BR,-15.2261,-59.3353,72.32,95,100,4.03,light rain
239,Ostuacan,MX,17.4167,-93.3,67.32,99,94,5.86,overcast clouds
240,Alice Springs,AU,-23.7,133.8833,96.8,11,0,10.36,clear sky
241,Labuan,MY,5.2767,115.2417,78.8,83,40,3.44,scattered clouds
242,Camacha,PT,33.0833,-16.3333,62.6,88,75,5.75,broken clouds
243,Gat,IL,31.61,34.7642,46.99,100,6,4.47,clear sky
244,Ust-Ilimsk,RU,58.0006,102.6619,-19.17,85,100,6.2,overcast clouds
245,Dudinka,RU,69.4058,86.1778,-43.11,81,61,0.34,broken clouds
246,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.71,98,99,1.95,overcast clouds
247,Nikolskoye,RU,59.7035,30.7861,15.8,86,75,15.66,broken clouds
248,Te Anau,NZ,-45.4167,167.7167,54.99,64,69,4.65,broken clouds
249,Cordele,US,31.9635,-83.7824,48.99,61,1,4.79,clear sky
250,Lagoa,PT,39.05,-27.9833,61.29,88,15,26.06,few clouds
251,Muisne,EC,0.6,-80.0333,75.92,90,95,6.96,light rain
252,Guerrero Negro,MX,27.9769,-114.0611,63.41,78,55,7.92,broken clouds
253,Rawson,AR,-43.3002,-65.1023,74.68,41,89,13.58,overcast clouds
254,Saint-Pierre,RE,-21.3393,55.4781,84.2,65,0,4.61,clear sky
255,Kilindoni,TZ,-7.9139,39.6668,81.66,80,100,14.88,overcast clouds
256,Chumikan,RU,54.7183,135.315,-4.07,86,100,18.19,overcast clouds
257,Bara,NG,10.3744,10.7288,63.59,29,22,10.85,few clouds
258,Tombouctou,ML,20.0,-3.0,60.94,26,38,12.21,scattered clouds
259,Darhan,MN,49.4867,105.9228,3.6,89,4,0.74,clear sky
